flag,time,money
0,2018-09-01,174.17
0,2018-09-02,192.90
0,2018-09-03,152.12
0,2018-09-04,146.17
0,2018-09-05,143.15
0,2018-09-06,154.67
0,2018-09-07,139.55
1,2018-09-01,68.05
1,2018-09-02,61.34
1,2018-09-03,44.56
1,2018-09-04,38.78
1,2018-09-05,43.98
1,2018-09-06,49.06
1,2018-09-07,41.29
2,2018-09-01,116.45
2,2018-09-02,114.42
2,2018-09-03,87.75
2,2018-09-04,89.74
2,2018-09-05,105.36
2,2018-09-06,98.71
2,2018-09-07,93.69
3,2018-09-01,128.62
3,2018-09-02,104.23
3,2018-09-03,89.51
3,2018-09-04,72.36
3,2018-09-05,91.32
3,2018-09-06,97.59
3,2018-09-07,76.66
